codigo,pregunta,,,
Sexo,2. Sexo,,,
Edad,3. Edad: (En años):,,,
Escolaridad,4. Escolaridad:,,,
P5.Anos,5. ¿Cuánto tiempo lleva ud viviendo en el municipio? (años),,,
P5.Meses,5. ¿Cuánto tiempo lleva ud viviendo en el municipio? (Meses),,,
P6,6. ¿Cómo considera la situación actual de Baja California?,,,
P7.1,7. ¿Cuáles son los dos principales problemas de Baja Californa?,,,
P8,8. ¿Cómo considera la situación actual de Tijuana?,,,
P9.1,9. ¿Cuáles son los dos principales problemas de Tijuana?,,,
P10.1,"10. En una escala de 0 a 10 donde 0 es la peor calificación que puede dar y 10 la mejor, ¿cómo califica el desempeño de los siguientes personajes? a) a) El presidente Enrique Peña Nieto",,,
P10.2,"10. En una escala de 0 a 10 donde 0 es la peor calificación que puede dar y 10 la mejor, ¿cómo califica el desempeño de los siguientes personajes? a) b) El gobernador Francisco “Kiko” Vega",,,
P10.3,"10. En una escala de 0 a 10 donde 0 es la peor calificación que puede dar y 10 la mejor, ¿cómo califica el desempeño de los siguientes personajes? a) c) El presidente municipal Jorge Astiazarán",,,
P11,11. Si el día de hoy fueran las elecciones para elegir al próximo presidente municipal de Tijuana ¿Por cuál partido votaría usted?,,,
P12,"12. Y si no pudiera votar por el partido que mencionó, ¿por cuál otro partido votaría?",,,
P13,13. Y ¿por cuál partido nunca votaría?,,,
P14,"14. El próximo año habrá elecciones de alcaldes en todo el estado, en su opinión, ¿qué persona sería un buen candidato para ser presidente municipal de Tijuana?",,,
P14a.1,14a. ¿Cuáles son las 3 principales características que debería tener dicho personaje?,,,
P15.1,15. ¿Ha oído usted hablar de Antonio Valladolid Rodriguez?,,,
P15.2,15. ¿Ha oído usted hablar de Juan Manuel Gastelum Buenrostro “el patas”?,,,
P15.3,15. ¿Ha oído usted hablar de Rene Mendivil Acosta?,,,
P15.4,15. ¿Ha oído usted hablar de Juan Manuel Hernandez Niebla?,,,
P15.5,15. ¿Ha oído usted hablar de Saúl Guakil?,,,
P16.1,"16. (Para quienes dijo conocer en P.15) ¿Qué opinión tiene de Antonio Valladolid Rodriguez, muy mala, mala, buena o muy buena?",,,
P16.2,"16. (Para quienes dijo conocer en P.15) ¿Qué opinión tiene de Juan Manuel Gastelum Buenrostro “el patas”, muy mala, mala, buena o muy buena?",,,
P16.3,"16. (Para quienes dijo conocer en P.15) ¿Qué opinión tiene de Rene Mendivil Acosta, muy mala, mala, buena o muy buena?",,,
P16.4,"16. (Para quienes dijo conocer en P.15) ¿Qué opinión tiene de Juan Manuel Hernandez Niebla, muy mala, mala, buena o muy buena?",,,
P16.5,"16. (Para quienes dijo conocer en P.15) ¿Qué opinión tiene de Saúl Guakil, muy mala, mala, buena o muy buena?",,,
P17.1,17. (Para quienes dijo conocer en P.15) ¿De qué partido político es Antonio Valladolid Rodriguez?,,,
P17.2,17. (Para quienes dijo conocer en P.15) ¿De qué partido político es Juan Manuel Gastelum Buenrostro “el patas”?,,,
P17.3,17. (Para quienes dijo conocer en P.15) ¿De qué partido político es Rene Mendivil Acosta?,,,
P17.4,17. (Para quienes dijo conocer en P.15) ¿De qué partido político es Juan Manuel Hernandez Niebla?,,,
P17.5,17. (Para quienes dijo conocer en P.15) ¿De qué partido político es Saúl Guakil?,,,
P18.1,"18. Para usted,  ¿cuál es el mejor partido político?",,,
P18.2,"18. Para usted,  ¿cuál es el peor partido político?",,,
P19,"19. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
P20,"20. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
P21,"21. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
P22,"22. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
P23,"23. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
P24,"24. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
P25,"25. Si los únicos 2 candidatos para la alcaldía fueran los siguientes, ¿Por cuál votaría usted?",,,
V1,V1 ¿Usted ha votado en Tijuana antes?,,,
V2,"V2 En una escala de 0 a 10 dónde 0 es nada probable y 10 es seguramente, ¿Qué probabilidad hay de que usted vaya a votar?",,,
V3,V3 ¿Sabe dónde está ubicada generalmente la casilla donde debe votar?,,,
V4,V4 ¿Qué tanto interés tiene en la política?,,,
V5,"V5 Independientemente de por quién vaya a votar, ¿a qué partido se siente más cercano?",,,
V6,V6 ¿Qué tanto?,,,
A1,A1 ¿Cuál fue el último grado de estudios del jefe de familia?,,,
A2,"A2 ¿Cuál es el total de cuartos, piezas y habitaciones con que cuenta su hogar? Por favor no incluya baños, medios baños, pasillos, patios y zotehuelas.",,,
A3,A3  ¿Cuántos baños completos con regadera y WC (excusado) hay para uso exclusivo de los integrantes de su hogar?,,,
A4,A4 ¿El hogar cuenta con regadera funcionando en alguno de los baños?,,,
A5,"A5 ¿Contando todos los focos que utiliza para iluminar su hogar, incluyendo los de techos, paredes y lámparas de buró o piso, dígame ¿cuántos focos tiene en su vivienda?",,,
A6,"A6 ¿El piso de su hogar es predominantemente de tierra, o de cemento o algún otro acabado?",,,
A7,"A7 ¿Cuántos automóviles propios, excluyendo taxis, tienen en su hogar?",,,
A8,A8 ¿En este hogar cuentan con estufa de gas o eléctrica?,,,
A9,A9 ¿Podría decirme principalmente a qué se dedica usted?,,,
vp3,Votante probable,,,
estructura,Estructura electoral,,,
fuerza,Preferencia de Candidato,,,